Date,NIFTY50_Index,Log_Return_pct,Realized_Vol,GARCH_Forecast_Vol,GARCHX_Forecast_Vol,Sentiment_Raw,Sentiment_Rolled,Sentiment_Lagged,Has_Real_News,Sentiment_Label,Position_Size,Strategy_Return,Benchmark_Return,Strategy_Value,Benchmark_Value,High_Vol_Flag,Risk_Regime
2022-01-03,1877.0765182999999,0.013743172794881133,0.6418773888182175,2.094327236324298,1.991953805530742,0.0,0.09683381962505254,0.0,1,Neutral,1.0,0.013743172794881133,0.013743172794881133,101374.31727948811,101374.31727948811,0,Low Risk
2022-01-04,1892.32976225,0.00809322533698865,0.6416744639245305,2.1291184183428586,2.01849848552478,0.0,0.09683381962505254,0.09683381962505254,1,Neutral,0.3,0.00809322533698865,0.00809322533698865,102194.76247261441,102194.76247261441,1,High Risk
2022-01-05,1917.7944984499998,0.013367078669266775,0.675040743235407,1.8898133369068895,1.8898133369068895,0.0,0.09683381962505254,0.09683381962505254,1,Neutral,1.0,0.0040101236007800325,0.013367078669266775,102604.57610148194,103560.80790217288,0,Low Risk
2022-01-06,1915.43249885,-0.0012323819594336574,0.6380110676273404,2.1088030266503783,1.9021112367381796,0.0,0.09683381962505254,0.09683381962505254,1,Neutral,1.0,-0.0012323819594336574,-0.0012323819594336574,102478.12807293914,103433.18143080985,0,Low Risk
2022-01-07,1916.7570175499998,0.0006912595251742305,0.6977727601983904,1.8388467216284046,1.9784381987972888,0.0,0.09683381962505254,0.09683381962505254,1,Neutral,1.0,0.0006912595251742305,0.0006912595251742305,102548.9670550916,103504.68060269298,0,Low Risk
2022-01-10,1932.6164834000003,0.008240071057020112,0.6000459602796434,1.8102052098427603,1.9433316471565385,0.0,0.09683381962505254,0.09683381962505254,1,Neutral,1.0,0.008240071057020112,0.008240071057020112,103393.97783044957,104357.56652559334,0,Low Risk
2022-01-11,1932.7425117500002,6.520913074436941e-05,0.6310162238012683,1.8933367025569328,1.8452738456714952,0.0,0.09683381962505254,0.09683381962505254,1,Neutral,1.0,6.520913074436941e-05,6.520913074436941e-05,103400.7200618681,104364.37159179305,0,Low Risk
2022-01-12,1941.7264984,0.004637540126320614,0.3893776593602673,1.8167806042811956,1.8167806042811956,0.0,0.09683381962505254,0.09683381962505254,1,Neutral,1.0,0.004637540126320614,0.004637540126320614,103880.24505024544,104848.36555280823,0,Low Risk
2022-01-13,1950.9374977999996,0.004732500210759812,0.3347310379550995,1.814754009925767,1.814754009925767,0.0,0.09683381962505254,0.09683381962505254,1,Neutral,1.0,0.004732500210759812,0.004732500210759812,104371.85833183952,105344.56046488472,0,Low Risk
2022-01-14,1952.9260147500001,0.0010187431582010153,0.32768351403844503,1.8156606164457698,1.8695561193755308,0.0,0.09683381962505254,0.09683381962505254,1,Neutral,1.0,0.0010187431582010153,0.0010187431582010153,104478.18644842382,105451.87951511201,0,Low Risk
2022-01-17,1958.2930069000001,0.002744410624349842,0.20998599075049357,1.8060943975702444,1.8060943975702444,0.0,0.09683381962505254,0.09683381962505254,1,Neutral,1.0,0.002744410624349842,0.002744410624349842,104764.91749332569,105741.28277361095,0,Low Risk
2022-01-18,1930.4452453,-0.01432250557185915,0.802066452165302,1.8006458100838778,1.7485068265973593,0.0,0.09683381962505254,0.09683381962505254,1,Neutral,1.0,-0.01432250557185915,-0.01432250557185915,103264.42137879218,104226.80266191038,0,Low Risk
2022-01-19,1910.4864883000002,-0.010392757814230397,0.8536606770445168,2.4584637812725085,1.7747894882053192,0.0,0.09683381962505254,0.09683381962505254,1,Neutral,1.0,-0.010392757814230397,-0.010392757814230397,102191.21925657574,103143.59874409356,0,Low Risk
2022-01-20,1882.5422424,-0.014734795580662359,0.8427875898136151,2.2094507077352517,2.2094507077352517,0.0,0.09683381962505254,0.09683381962505254,1,Neutral,0.3,-0.014734795580662359,-0.014734795580662359,100685.45253069146,101623.79890114548,1,High Risk
2022-01-21,1861.8435005,-0.011055993780222312,0.7137746110271264,2.4862530262594267,2.4862530262594267,0.0,0.09683381962505254,0.09683381962505254,1,Neutral,0.3,-0.0033167981340666937,-0.011055993780222312,100351.49920960999,100500.24681257186,1,High Risk
2022-01-24,1795.8982613000003,-0.03606180528942853,1.0655371554339974,2.2481187167968724,2.2481187167968724,0.0,0.09683381962505254,0.09683381962505254,1,Neutral,0.3,-0.010818541586828559,-0.03606180528942853,99265.84234211023,96876.02648047739,1,High Risk
2022-01-25,1805.9647621,0.00558962233949346,1.4920280000621915,4.247647476170698,2.0459039372156638,0.0,0.09683381962505254,0.09683381962505254,1,Neutral,0.3,0.001676886701848038,0.00558962233949346,99432.29991308146,97417.52688225404,1,High Risk
