Date,NIFTY50_Index,Log_Return_pct,Realized_Vol,GARCH_Forecast_Vol,GARCHX_Forecast_Vol,Sentiment_Raw,Sentiment_Rolled,Sentiment_Lagged,Has_Real_News,Sentiment_Label,Position_Size,Strategy_Return,Benchmark_Return,Strategy_Value,Benchmark_Value,High_Vol_Flag,Risk_Regime,mu,nu,pi,fuzzy_sentiment,fuzzy_index_5d,return,exposure_fuzzy,exposure_baseline,return_fuzzy,return_baseline,cumulative_fuzzy,cumulative_baseline
2022-01-03,1877.0765183,0.0137431727948811,0.6418773888182175,2.094327236324298,1.991953805530742,0.0,0.0968338196250525,0.0,1,Neutral,1.0,0.0137431727948811,0.0137431727948811,101374.31727948812,101374.31727948812,0,Low Risk,0.49668580406285756,0.5033141959371426,0.0,-0.006628391874284989,,0.0137431727948811,1.0,1.0,0.0137431727948811,0.0137431727948811,0.0137431727948811,0.0137431727948811
2022-01-04,1892.32976225,0.0080932253369886,0.6416744639245305,2.129118418342858,2.01849848552478,0.0,0.0968338196250525,0.0968338196250525,1,Neutral,0.3,0.0080932253369886,0.0080932253369886,102194.7624726144,102194.7624726144,1,High Risk,0.49668580406285756,0.5033141959371426,0.0,-0.006628391874284989,,0.0080932253369886,1.0,1.0,0.0080932253369886,0.0080932253369886,0.0218363981318697,0.0218363981318697
2022-01-05,1917.79449845,0.0133670786692667,0.675040743235407,1.8898133369068897,1.8898133369068897,0.0,0.0968338196250525,0.0968338196250525,1,Neutral,1.0,0.00401012360078,0.0133670786692667,102604.57610148194,103560.80790217288,0,Low Risk,0.49668580406285756,0.5033141959371426,0.0,-0.006628391874284989,,0.0133670786692667,1.0,1.0,0.0133670786692667,0.0133670786692667,0.0352034768011364,0.0352034768011364
2022-01-06,1915.43249885,-0.0012323819594336,0.6380110676273404,2.1088030266503783,1.9021112367381796,0.0,0.0968338196250525,0.0968338196250525,1,Neutral,1.0,-0.0012323819594336,-0.0012323819594336,102478.12807293914,103433.18143080984,0,Low Risk,0.49668580406285756,0.5033141959371426,0.0,-0.006628391874284989,,-0.0012323819594336,1.0,1.0,-0.0012323819594336,-0.0012323819594336,0.0339710948417028,0.0339710948417028
2022-01-07,1916.75701755,0.0006912595251742,0.6977727601983904,1.8388467216284048,1.9784381987972888,0.0,0.0968338196250525,0.0968338196250525,1,Neutral,1.0,0.0006912595251742,0.0006912595251742,102548.9670550916,103504.68060269298,0,Low Risk,0.49668580406285756,0.5033141959371426,0.0,-0.006628391874284989,-0.006628391874284989,0.0006912595251742,1.0,1.0,0.0006912595251742,0.0006912595251742,0.034662354366877,0.034662354366877
2022-01-10,1932.6164834000003,0.0082400710570201,0.6000459602796434,1.8102052098427603,1.9433316471565385,0.0,0.0968338196250525,0.0968338196250525,1,Neutral,1.0,0.0082400710570201,0.0082400710570201,103393.97783044956,104357.56652559334,0,Low Risk,0.49668580406285756,0.5033141959371426,0.0,-0.006628391874284989,-0.006628391874284989,0.0082400710570201,1.0,1.0,0.0082400710570201,0.0082400710570201,0.0429024254238971,0.0429024254238971
2022-01-11,1932.74251175,6.520913074436941e-05,0.6310162238012683,1.8933367025569328,1.8452738456714952,0.0,0.0968338196250525,0.0968338196250525,1,Neutral,1.0,6.520913074436941e-05,6.520913074436941e-05,103400.7200618681,104364.37159179304,0,Low Risk,0.49668580406285756,0.5033141959371426,0.0,-0.006628391874284989,-0.006628391874284989,6.520913074436941e-05,1.0,1.0,6.520913074436941e-05,6.520913074436941e-05,0.04296763455464147,0.04296763455464147
2022-01-12,1941.7264984,0.0046375401263206,0.3893776593602673,1.8167806042811956,1.8167806042811956,0.0,0.0968338196250525,0.0968338196250525,1,Neutral,1.0,0.0046375401263206,0.0046375401263206,103880.24505024544,104848.36555280825,0,Low Risk,0.49668580406285756,0.5033141959371426,0.0,-0.006628391874284989,-0.006628391874284989,0.0046375401263206,1.0,1.0,0.0046375401263206,0.0046375401263206,0.04760517468096207,0.04760517468096207
2022-01-13,1950.9374977999996,0.0047325002107598,0.3347310379550995,1.814754009925767,1.814754009925767,0.0,0.0968338196250525,0.0968338196250525,1,Neutral,1.0,0.0047325002107598,0.0047325002107598,104371.85833183952,105344.56046488472,0,Low Risk,0.49668580406285756,0.5033141959371426,0.0,-0.006628391874284989,-0.006628391874284989,0.0047325002107598,1.0,1.0,0.0047325002107598,0.0047325002107598,0.05233767489172187,0.05233767489172187
2022-01-14,1952.92601475,0.001018743158201,0.327683514038445,1.8156606164457696,1.8695561193755308,0.0,0.0968338196250525,0.0968338196250525,1,Neutral,1.0,0.001018743158201,0.001018743158201,104478.18644842382,105451.879515112,0,Low Risk,0.49668580406285756,0.5033141959371426,0.0,-0.006628391874284989,-0.006628391874284989,0.001018743158201,1.0,1.0,0.001018743158201,0.001018743158201,0.053356418049922874,0.053356418049922874
