Date,Price,log_return,headlines,pos_score,neg_score,neu_score
2019-01-03,10672.25,-0.0112045337615006,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-01-04,10727.349609375,0.0051496039312523,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-01-07,10771.7998046875,0.0041350713736188,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-01-08,10802.150390625,0.00281363456255,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-01-09,10855.150390625,0.0048944331833999,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-01-10,10821.599609375,-0.0030955570407573,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-01-11,10794.9501953125,-0.0024656504210332,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-01-14,10737.599609375,-0.0053268862323603,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-01-15,10886.7998046875,0.0137994642136697,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-01-16,10890.2998046875,0.0003214385839176,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-01-17,10905.2001953125,0.0013672907661065,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-01-18,10906.9501953125,0.0001604610249256,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-01-21,10961.849609375,0.0050208086296924,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-01-22,10922.75,-0.0035732571466164,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-01-23,10831.5,-0.0083892145371514,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-01-24,10849.7998046875,0.0016880730581589,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-01-25,10780.5498046875,-0.0064030621649687,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-01-28,10661.5498046875,-0.011099773244971,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-01-29,10652.2001953125,-0.0008773312978436,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-01-30,10651.7998046875,-3.758830501756102e-05,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-01-31,10830.9501953125,0.0166789208742785,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-02-01,10893.650390625,0.0057722920298164,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-02-04,10912.25,0.0017059248691862,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-02-05,10934.349609375,0.0020231630833451,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-02-06,11062.4501953125,0.0116473337260757,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-02-07,11069.400390625,0.0006280717930916,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-02-08,10943.599609375,-0.0114298051881045,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-02-11,10888.7998046875,-0.0050200547115384,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-02-12,10831.400390625,-0.0052853608316248,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-02-14,10746.0498046875,-0.007911132252471,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-02-15,10724.400390625,-0.0020166713974639,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-02-18,10640.9501953125,-0.0078117716203071,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-02-19,10604.349609375,-0.0034455265383959,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-02-20,10735.4501953125,0.012287110143627,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-02-21,10789.849609375,0.0050544736074349,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-02-22,10791.650390625,0.0001668819363047,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-02-25,10880.099609375,0.0081626735135031,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-02-26,10835.2998046875,-0.0041260920318907,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-02-27,10806.650390625,-0.0026475831003447,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-02-28,10792.5,-0.0013102730795938,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-03-01,10863.5,0.0065570977456633,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-03-05,10987.4501953125,0.0113451839580338,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-03-06,11053.0,0.0059481541776258,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-03-07,11058.2001953125,0.0004703675388439,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
2019-03-08,11035.400390625,-0.0020639291176077,no news,0.03224073350429535,0.07108702510595322,0.8966721892356873
