Date,log_return,mu,nu,pi,exposure_baseline,exposure_fuzzy,return_baseline,return_fuzzy,cumulative_baseline,cumulative_fuzzy
2019-01-03,-0.0112045337615006,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0112045337615006,-0.0112045337615006,-0.0112045337615006,-0.0112045337615006
2019-01-04,0.0051496039312523,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0051496039312523,0.0051496039312523,-0.0060549298302482995,-0.0060549298302482995
2019-01-07,0.0041350713736188,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0041350713736188,0.0041350713736188,-0.0019198584566294998,-0.0019198584566294998
2019-01-08,0.00281363456255,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.00281363456255,0.00281363456255,0.0008937761059205,0.0008937761059205
2019-01-09,0.0048944331833999,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0048944331833999,0.0048944331833999,0.0057882092893204,0.0057882092893204
2019-01-10,-0.0030955570407573,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0030955570407573,-0.0030955570407573,0.0026926522485631,0.0026926522485631
2019-01-11,-0.0024656504210332,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0024656504210332,-0.0024656504210332,0.00022700182752990019,0.00022700182752990019
2019-01-14,-0.0053268862323603,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0053268862323603,-0.0053268862323603,-0.005099884404830399,-0.005099884404830399
2019-01-15,0.0137994642136697,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0137994642136697,0.0137994642136697,0.008699579808839302,0.008699579808839302
2019-01-16,0.0003214385839176,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0003214385839176,0.0003214385839176,0.009021018392756902,0.009021018392756902
2019-01-17,0.0013672907661065,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0013672907661065,0.0013672907661065,0.010388309158863402,0.010388309158863402
2019-01-18,0.0001604610249256,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0001604610249256,0.0001604610249256,0.010548770183789002,0.010548770183789002
2019-01-21,0.0050208086296924,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0050208086296924,0.0050208086296924,0.015569578813481401,0.015569578813481401
2019-01-22,-0.0035732571466164,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0035732571466164,-0.0035732571466164,0.011996321666865001,0.011996321666865001
2019-01-23,-0.0083892145371514,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0083892145371514,-0.0083892145371514,0.003607107129713601,0.003607107129713601
2019-01-24,0.0016880730581589,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0016880730581589,0.0016880730581589,0.005295180187872501,0.005295180187872501
2019-01-25,-0.0064030621649687,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0064030621649687,-0.0064030621649687,-0.0011078819770961998,-0.0011078819770961998
2019-01-28,-0.011099773244971,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.011099773244971,-0.011099773244971,-0.0122076552220672,-0.0122076552220672
2019-01-29,-0.0008773312978436,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0008773312978436,-0.0008773312978436,-0.0130849865199108,-0.0130849865199108
2019-01-30,-3.758830501756102e-05,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-3.758830501756102e-05,-3.758830501756102e-05,-0.013122574824928361,-0.013122574824928361
2019-01-31,0.0166789208742785,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0166789208742785,0.0166789208742785,0.0035563460493501387,0.0035563460493501387
2019-02-01,0.0057722920298164,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0057722920298164,0.0057722920298164,0.009328638079166538,0.009328638079166538
2019-02-04,0.0017059248691862,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0017059248691862,0.0017059248691862,0.011034562948352738,0.011034562948352738
2019-02-05,0.0020231630833451,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0020231630833451,0.0020231630833451,0.013057726031697837,0.013057726031697837
2019-02-06,0.0116473337260757,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0116473337260757,0.0116473337260757,0.02470505975777354,0.02470505975777354
2019-02-07,0.0006280717930916,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0006280717930916,0.0006280717930916,0.02533313155086514,0.02533313155086514
2019-02-08,-0.0114298051881045,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0114298051881045,-0.0114298051881045,0.01390332636276064,0.01390332636276064
2019-02-11,-0.0050200547115384,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0050200547115384,-0.0050200547115384,0.008883271651222241,0.008883271651222241
2019-02-12,-0.0052853608316248,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0052853608316248,-0.0052853608316248,0.0035979108195974413,0.0035979108195974413
2019-02-14,-0.007911132252471,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.007911132252471,-0.007911132252471,-0.004313221432873559,-0.004313221432873559
2019-02-15,-0.0020166713974639,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0020166713974639,-0.0020166713974639,-0.006329892830337459,-0.006329892830337459
2019-02-18,-0.0078117716203071,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0078117716203071,-0.0078117716203071,-0.014141664450644558,-0.014141664450644558
2019-02-19,-0.0034455265383959,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0034455265383959,-0.0034455265383959,-0.017587190989040456,-0.017587190989040456
2019-02-20,0.012287110143627,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.012287110143627,0.012287110143627,-0.005300080845413457,-0.005300080845413457
2019-02-21,0.0050544736074349,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0050544736074349,0.0050544736074349,-0.00024560723797855625,-0.00024560723797855625
2019-02-22,0.0001668819363047,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0001668819363047,0.0001668819363047,-7.872530167385625e-05,-7.872530167385625e-05
2019-02-25,0.0081626735135031,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0081626735135031,0.0081626735135031,0.008083948211829244,0.008083948211829244
2019-02-26,-0.0041260920318907,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0041260920318907,-0.0041260920318907,0.003957856179938544,0.003957856179938544
2019-02-27,-0.0026475831003447,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0026475831003447,-0.0026475831003447,0.0013102730795938444,0.0013102730795938444
2019-02-28,-0.0013102730795938,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0013102730795938,-0.0013102730795938,4.445228907190568e-17,4.445228907190568e-17
2019-03-01,0.0065570977456633,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0065570977456633,0.0065570977456633,0.006557097745663344,0.006557097745663344
2019-03-05,0.0113451839580338,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0113451839580338,0.0113451839580338,0.017902281703697145,0.017902281703697145
2019-03-06,0.0059481541776258,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0059481541776258,0.0059481541776258,0.023850435881322945,0.023850435881322945
2019-03-07,0.0004703675388439,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0004703675388439,0.0004703675388439,0.024320803420166844,0.024320803420166844
2019-03-08,-0.0020639291176077,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0020639291176077,-0.0020639291176077,0.022256874302559144,0.022256874302559144
2019-03-11,0.0119486828487988,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0119486828487988,0.0119486828487988,0.034205557151357945,0.034205557151357945
2019-03-12,0.0118519264539069,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0118519264539069,0.0118519264539069,0.04605748360526485,0.04605748360526485
2019-03-13,0.0035772840485137,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0035772840485137,0.0035772840485137,0.04963476765377855,0.04963476765377855
2019-03-14,0.0001366372574386,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0001366372574386,0.0001366372574386,0.04977140491121715,0.04977140491121715
2019-03-15,0.0073429617299341,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0073429617299341,0.0073429617299341,0.05711436664115125,0.05711436664115125
2019-03-18,0.0030888668901587,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0030888668901587,0.0030888668901587,0.06020323353130995,0.06020323353130995
2019-03-19,0.0061058171586395,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0061058171586395,0.0061058171586395,0.06630905068994945,0.06630905068994945
2019-03-20,-0.0009847191425605,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0009847191425605,-0.0009847191425605,0.06532433154738895,0.06532433154738895
2019-03-22,-0.0055835773146963,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0055835773146963,-0.0055835773146963,0.05974075423269265,0.05974075423269265
2019-03-25,-0.0090000795022271,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0090000795022271,-0.0090000795022271,0.05074067473046555,0.05074067473046555
2019-03-26,0.0112973286932164,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0112973286932164,0.0112973286932164,0.062038003423681945,0.062038003423681945
2019-03-27,-0.0033321468214628,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0033321468214628,-0.0033321468214628,0.05870585660221914,0.05870585660221914
2019-03-28,0.0108582361558709,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0108582361558709,0.0108582361558709,0.06956409275809004,0.06956409275809004
2019-04-01,0.0085330995827254,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0085330995827254,0.0085330995827254,0.07809719234081544,0.07809719234081544
2019-04-02,0.0037677868730356,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0037677868730356,0.0037677868730356,0.08186497921385104,0.08186497921385104
2019-04-03,-0.0059296790704819,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0059296790704819,-0.0059296790704819,0.07593530014336913,0.07593530014336913
2019-04-04,-0.0039540791366154,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0039540791366154,-0.0039540791366154,0.07198122100675373,0.07198122100675373
2019-04-05,0.0058416896509144,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0058416896509144,0.0058416896509144,0.07782291065766814,0.07782291065766814
2019-04-08,-0.0052814051841508,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0052814051841508,-0.0052814051841508,0.07254150547351734,0.07254150547351734
2019-04-09,0.005795590267793,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.005795590267793,0.005795590267793,0.07833709574131034,0.07833709574131034
2019-04-10,-0.0075378279508354,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,-0.0075378279508354,-0.0075378279508354,0.07079926779047493,0.07079926779047493
2019-04-11,0.0010698754849078,0.5014424366382555,0.4985575633617445,0.0,1.0,1.0,0.0010698754849078,0.0010698754849078,0.07186914327538274,0.07186914327538274
